ts,used_mib,available_mib,swap_mib,container_rss_mib,running,waiting,kv_pct,prefix_hit_pct,prompt_tps,gen_tps
2026-04-13T16:27:17.447+00:00,72148,52401,7397,2821,,,,,,
2026-04-13T16:27:19.481+00:00,73754,50796,7396,2821,,,,,,
2026-04-13T16:27:20.005+00:00,73715,50835,7396,2821,,,,,,
2026-04-13T16:27:20.521+00:00,73948,50601,7396,2821,,,,,,
2026-04-13T16:27:21.040+00:00,73920,50629,7396,2821,,,,,,
2026-04-13T16:27:21.558+00:00,73902,50647,7396,2821,,,,,,
2026-04-13T16:27:22.079+00:00,73927,50622,7396,2821,,,,,,
2026-04-13T16:27:22.608+00:00,73923,50626,7396,2855,,,,,,
2026-04-13T16:27:24.646+00:00,73878,50671,7396,2855,,,,,,
2026-04-13T16:27:25.166+00:00,73885,50664,7396,2855,,,,,,
2026-04-13T16:27:25.692+00:00,73894,50655,7396,2855,,,,,,
2026-04-13T16:27:26.211+00:00,73871,50678,7396,2855,,,,,,
2026-04-13T16:27:26.731+00:00,73853,50696,7396,2855,,,,,,
2026-04-13T16:27:27.248+00:00,73848,50701,7396,2855,,,,,,
2026-04-13T16:27:27.766+00:00,74448,50101,7396,2881,,,,,,
2026-04-13T16:27:29.803+00:00,74972,49577,7396,2881,,,,,,
2026-04-13T16:27:30.318+00:00,73875,50674,7396,2881,,,,,,
2026-04-13T16:27:30.842+00:00,73910,50639,7396,2881,,,,,,
2026-04-13T16:27:31.362+00:00,73947,50602,7396,2881,,,,,,
2026-04-13T16:27:31.880+00:00,73934,50616,7396,2881,,,,,,
2026-04-13T16:27:32.398+00:00,73946,50603,7396,2881,,,,,,
2026-04-13T16:27:32.912+00:00,74018,50531,7396,2870,,,,,,
2026-04-13T16:27:34.952+00:00,74047,50503,7396,2870,,,,,,
2026-04-13T16:27:35.479+00:00,74044,50505,7396,2870,,,,,,
2026-04-13T16:27:36.009+00:00,74050,50499,7396,2870,,,,,,
2026-04-13T16:27:36.524+00:00,74260,50289,7396,2870,,,,,,
2026-04-13T16:27:37.042+00:00,74325,50224,7396,2870,,,,,,
2026-04-13T16:27:37.572+00:00,74362,50188,7396,2870,,,,,,
2026-04-13T16:27:38.105+00:00,74365,50184,7396,2890,,,,,,
2026-04-13T16:27:40.194+00:00,74436,50113,7396,2890,,,,,,
2026-04-13T16:27:40.711+00:00,74432,50117,7396,2890,,,,,,
2026-04-13T16:27:41.228+00:00,74453,50096,7396,2890,,,,,,
2026-04-13T16:27:41.766+00:00,74445,50105,7396,2890,,,,,,
2026-04-13T16:27:42.297+00:00,74459,50091,7396,2890,,,,,,
2026-04-13T16:27:42.814+00:00,74447,50102,7396,2890,,,,,,
2026-04-13T16:27:43.332+00:00,74473,50076,7396,2906,,,,,,
2026-04-13T16:27:45.368+00:00,74465,50084,7396,2906,,,,,,
2026-04-13T16:27:45.884+00:00,74446,50103,7396,2906,,,,,,
2026-04-13T16:27:46.400+00:00,74448,50101,7396,2906,,,,,,
2026-04-13T16:27:46.916+00:00,74435,50114,7396,2906,,,,,,
2026-04-13T16:27:47.446+00:00,74443,50106,7396,2906,,,,,,
2026-04-13T16:27:47.961+00:00,74483,50067,7396,2906,,,,,,
2026-04-13T16:27:48.479+00:00,74486,50063,7396,2929,,,,,,
2026-04-13T16:27:50.532+00:00,74529,50021,7396,2929,,,,,,
2026-04-13T16:27:51.048+00:00,74520,50029,7396,2929,,,,,,
2026-04-13T16:27:51.563+00:00,74523,50026,7396,2929,,,,,,
2026-04-13T16:27:52.080+00:00,74498,50051,7396,2929,,,,,,
2026-04-13T16:27:52.610+00:00,74486,50063,7396,2929,,,,,,
2026-04-13T16:27:53.137+00:00,74458,50091,7396,2929,,,,,,
2026-04-13T16:27:53.659+00:00,74490,50059,7396,2944,,,,,,
2026-04-13T16:27:55.694+00:00,74477,50072,7396,2944,,,,,,
2026-04-13T16:27:56.221+00:00,74484,50065,7396,2944,,,,,,
2026-04-13T16:27:56.750+00:00,74465,50084,7396,2944,,,,,,
2026-04-13T16:27:57.274+00:00,74459,50090,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:27:57.800+00:00,74444,50105,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:27:58.327+00:00,74442,50107,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:27:58.853+00:00,74427,50122,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:00.913+00:00,74419,50131,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:01.440+00:00,74458,50092,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:01.968+00:00,74465,50085,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:02.496+00:00,74459,50090,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:03.024+00:00,74453,50096,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:03.554+00:00,74436,50113,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:04.082+00:00,74433,50116,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:06.140+00:00,74420,50129,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:06.666+00:00,74417,50133,7396,2944,1,0,1.0,0.0,703.4,17.2
2026-04-13T16:28:07.194+00:00,74408,50141,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:07.722+00:00,74413,50137,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:08.250+00:00,74414,50135,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:08.778+00:00,74407,50142,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:09.304+00:00,74417,50132,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:11.363+00:00,74416,50134,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:11.889+00:00,74409,50140,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:12.417+00:00,74399,50150,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:12.944+00:00,74392,50157,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:13.470+00:00,74437,50112,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:13.997+00:00,74422,50127,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:14.524+00:00,74407,50142,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:16.580+00:00,74394,50156,7396,2944,1,0,1.1,0.0,0.0,62.3
2026-04-13T16:28:17.107+00:00,74387,50162,7396,2944,1,0,1.1,0.0,0.0,61.9
2026-04-13T16:28:17.634+00:00,74389,50160,7396,2944,1,0,1.1,0.0,0.0,61.9
2026-04-13T16:28:18.161+00:00,74404,50146,7396,2944,1,0,1.1,0.0,0.0,61.9
2026-04-13T16:28:18.688+00:00,74407,50142,7396,2944,1,0,1.1,0.0,0.0,61.9
2026-04-13T16:28:19.213+00:00,74413,50136,7396,2944,1,0,1.1,0.0,0.0,61.9
2026-04-13T16:28:19.740+00:00,74412,50137,7396,2944,1,0,1.1,0.0,0.0,61.9
2026-04-13T16:28:21.797+00:00,74419,50130,7396,2944,1,0,1.1,0.0,0.0,61.9
2026-04-13T16:28:22.323+00:00,74423,50127,7396,2944,1,0,1.1,0.0,0.0,61.9
